P (kPa)	T (°C)	Enthalpy 	Entropy 
60	-36.9346015	152001.4703	812.0209115
80	-31.115338	159371.9603	842.7849202
100	-26.36118825	165441.875	867.5611073
120	-22.30950988	170651.0175	888.4386131
140	-18.75957038	175243.5839	906.5606388
160	-15.58782099	179370.2684	922.6242159
180	-12.71244535	183131.0924	937.0872423
200	-10.07627246	186596.0905	950.2674493
220	-7.63767229	189816.354	962.3947607
240	-5.365325391	192830.3853	973.6411856
260	-3.235036109	195667.9753	984.1389299
280	-1.227696884	198352.6847	993.9919083
300	0.672063738	200903.4927	1003.283354
320	2.476808793	203335.9313	1012.081017
340	4.196947339	205662.8846	1020.440822
360	5.841207313	207895.1686	1028.409491
380	7.416984364	210041.9582	1036.026483
400	8.930603945	212111.109	1043.325441
420	10.38752145	214109.4028	1050.335292
440	11.79247727	216042.7385	1057.081099
460	13.14961847	217916.2814	1063.58473
480	14.46259543	219734.5825	1069.865383
500	15.73463942	221501.6737	1075.940009
520	16.96862543	223221.1455	1081.823654
540	18.16712356	224896.2106	1087.529738
560	19.33244141	226529.7557	1093.070284
580	20.46665923	228124.3854	1098.456107
600	21.57165936	229682.4584	1103.696974
620	22.64915099	231206.1182	1108.801734
640	23.70069115	232697.319	1113.778436
660	24.72770257	234157.8477	1118.63442
680	25.73148893	235589.3433	1123.376399
700	26.71324809	236993.3126	1128.010532
720	27.67408335	238371.1448	1132.542483
740	28.61501343	239724.1234	1136.977472
760	29.53698098	241053.4373	1141.320322
780	30.44086015	242360.1896	1145.575501
800	31.32746316	243645.4062	1149.747153
820	32.19754617	244910.043	1153.83913
840	33.05181436	246154.992	1157.855021
860	33.89092654	247381.0876	1161.798175
880	34.7154992	248589.1108	1165.67172
900	35.5261101	249779.7946	1169.478588
920	36.32330154	250953.8274	1173.221523
940	37.10758322	252111.8568	1176.903105
960	37.87943492	253254.493	1180.525759
980	38.63930875	254382.3116	1184.091767
1000	39.38763134	255495.8561	1187.603282
1020	40.12480575	256595.6406	1191.062336
1040	40.85121318	257682.1519	1194.470848
1060	41.56721459	258755.8513	1197.830634
1080	42.27315209	259817.1766	1201.143416
1100	42.96935029	260866.5436	1204.410823
1120	43.65611749	261904.3477	1207.634406
1140	44.33374676	262930.9651	1210.815633
1160	45.00251698	263946.7544	1213.955906
1180	45.6626937	264952.0575	1217.056554
1200	46.31453005	265947.2005	1220.118848
1220	46.9582675	266932.4953	1223.143996
1240	47.59413655	267908.2396	1226.133154
1260	48.22235744	268874.7187	1229.087424
1280	48.84314073	269832.2056	1232.00786
1300	49.45668788	270780.9618	1234.895472
1320	50.06319178	271721.2383	1237.751225
1340	50.66283724	272653.276	1240.576044
1360	51.25580144	273577.3061	1243.370817
1380	51.84225433	274493.5509	1246.136394
1400	52.42235907	275402.2244	1248.873592
1420	52.99627235	276303.5323	1251.583198
1440	53.56414475	277197.6728	1254.265966
1460	54.12612109	278084.837	1256.922622
1480	54.68234065	278965.2091	1259.553865
1500	55.23293755	279838.9668	1262.160368
1520	55.77804091	280706.2818	1264.742781
1540	56.31777517	281567.32	1267.30173
1560	56.85226028	282422.2416	1269.837819
1580	57.38161195	283271.2019	1272.351631
1600	57.9059418	284114.3508	1274.843728
1620	58.4253576	284951.8338	1277.314657
1640	58.93996342	285783.7919	1279.764944
1660	59.44985983	286610.3615	1282.195097
1680	59.95514402	287431.6754	1284.605612
1700	60.45590996	288247.862	1286.996967
1720	60.95224858	289059.0465	1289.369624
1740	61.44424785	289865.3503	1291.724033
1760	61.93199293	290666.8916	1294.06063
1780	62.41556632	291463.7852	1296.37984
1800	62.89504791	292256.143	1298.682072
