P (kPa)	T (°C)	Enthalpy 	Entropy 
60	-36.9346015	375944.7497	1760.067824
80	-31.115338	379617.3024	1752.759303
100	-26.36118825	382599.2245	1747.493013
120	-22.30950988	385123.5661	1743.454278
140	-18.75957038	387319.969	1740.22559
160	-15.58782099	389268.5223	1737.56628
180	-12.71244535	391022.4142	1735.325892
200	-10.07627246	392618.8955	1733.404583
220	-7.63767229	394085.1405	1731.732999
240	-5.365325391	395441.6232	1730.261176
260	-3.235036109	396704.18	1728.952044
280	-1.227696884	397885.3293	1727.777414
300	0.672063738	398995.1498	1726.715405
320	2.476808793	400041.8843	1725.748726
340	4.196947339	401032.3655	1724.863505
360	5.841207313	401972.3254	1724.048463
380	7.416984364	402866.622	1723.294317
400	8.930603945	403719.4115	1722.593351
420	10.38752145	404534.2787	1721.939088
440	11.79247727	405314.3387	1721.326044
460	13.14961847	406062.3169	1720.749544
480	14.46259543	406780.6117	1720.205571
500	15.73463942	407471.3462	1719.690652
520	16.96862543	408136.4086	1719.201771
540	18.16712356	408777.4867	1718.736287
560	19.33244141	409396.0953	1718.291883
580	20.46665923	409993.5994	1717.866513
600	21.57165936	410571.2337	1717.458363
620	22.64915099	411130.1186	1717.06582
640	23.70069115	411671.2742	1716.687443
660	24.72770257	412195.6323	1716.321937
680	25.73148893	412704.0457	1715.968142
700	26.71324809	413197.2976	1715.625007
720	27.67408335	413676.109	1715.291584
740	28.61501343	414141.1447	1714.967012
760	29.53698098	414593.0194	1714.650505
780	30.44086015	415032.3026	1714.341349
800	31.32746316	415459.5228	1714.03889
820	32.19754617	415875.1714	1713.742527
840	33.05181436	416279.7061	1713.45171
860	33.89092654	416673.5542	1713.165931
880	34.7154992	417057.1145	1712.884721
900	35.5261101	417430.7605	1712.607649
920	36.32330154	417794.8422	1712.334312
940	37.10758322	418149.6878	1712.064338
960	37.87943492	418495.6057	1711.797382
980	38.63930875	418832.8862	1711.533119
1000	39.38763134	419161.8023	1711.27125
1020	40.12480575	419482.6115	1711.011492
1040	40.85121318	419795.5569	1710.753582
1060	41.56721459	420100.8679	1710.497273
1080	42.27315209	420398.7615	1710.242332
1100	42.96935029	420689.4429	1709.98854
1120	43.65611749	420973.1065	1709.735691
1140	44.33374676	421249.9365	1709.48359
1160	45.00251698	421520.1075	1709.232054
1180	45.6626937	421783.7854	1708.980907
1200	46.31453005	422041.1274	1708.729983
1220	46.9582675	422292.2832	1708.479127
1240	47.59413655	422537.3949	1708.228187
1260	48.22235744	422776.5978	1707.977021
1280	48.84314073	423010.0205	1707.725494
1300	49.45668788	423237.7856	1707.473474
1320	50.06319178	423460.0097	1707.220836
1340	50.66283724	423676.8041	1706.967462
1360	51.25580144	423888.2746	1706.713235
1380	51.84225433	424094.5224	1706.458046
1400	52.42235907	424295.6436	1706.201787
1420	52.99627235	424491.7302	1705.944356
1440	53.56414475	424682.8699	1705.685653
1460	54.12612109	424869.1461	1705.425582
1480	54.68234065	425050.6387	1705.164049
1500	55.23293755	425227.4238	1704.900963
1520	55.77804091	425399.5739	1704.636236
1540	56.31777517	425567.1584	1704.369781
1560	56.85226028	425730.2432	1704.101516
1580	57.38161195	425888.8913	1703.831357
1600	57.9059418	426043.1629	1703.559224
1620	58.4253576	426193.1152	1703.285038
1640	58.93996342	426338.8026	1703.008721
1660	59.44985983	426480.2771	1702.730198
1680	59.95514402	426617.5882	1702.449394
1700	60.45590996	426750.7829	1702.166233
1720	60.95224858	426879.9057	1701.880643
1740	61.44424785	427004.9991	1701.592551
1760	61.93199293	427126.1033	1701.301886
1780	62.41556632	427243.2565	1701.008577
1800	62.89504791	427356.4947	1700.712551
